headlines,text
upGrad learner switches to career in ML & AI with 90% salary hike,"Saurav Kant, an alumnus of upGrad and IIIT-B's PG Program in Machine learning and Artificial Intelligence, was a Sr Systems Engineer at Infosys with almost 5 years of work experience. The program and upGrad's 360-degree career support helped him transition to a Data Scientist at Tech Mahindra with 90% salary hike. upGrad's Online Power Learning has powered 3 lakh+ careers."
Delhi techie wins free food from Swiggy for one year on CRED,"Kunal Shah's credit card bill payment platform, CRED, gave users a chance to win free food from Swiggy for one year. Pranav Kaushik, a Delhi techie, bagged this reward after spending 2000 CRED coins. Users get one CRED coin per rupee of bill paid, which can be used to avail rewards from brands like Ixigo, BookMyShow, UberEats, Cult.Fit and more."
New Zealand end Rohit Sharma-led India's 12-match winning streak,"New Zealand defeated India by 8 wickets in the fourth ODI at Hamilton on Thursday to win their first match of the five-match ODI series. India lost an international match under Rohit Sharma's captaincy after 12 consecutive victories dating back to March 2018. The match witnessed India getting all out for 92, their seventh lowest total in ODI cricket history."
Aegon life iTerm insurance plan helps customers save tax,"With Aegon Life iTerm Insurance plan, customers can enjoy tax benefits on your premiums paid and save up to â¹46,800^ on taxes. The plan provides life cover up to the age of 100 years. Also, customers have options to insure against Critical Illnesses, Disability and Accidental Death Benefit Rider with a life cover up to the age of 80 years."
"Have known Hirani for yrs, what if MeToo claims are not true: Sonam","Speaking about the sexual harassment allegations against Rajkumar Hirani, Sonam Kapoor said, ""I've known Hirani for many years...What if it's not true, the [#MeToo] movement will get derailed."" ""In the #MeToo movement, I always believe a woman. But in this case, we need to reserve our judgment,"" she added. Hirani has been accused by an assistant who worked in 'Sanju'."
Rahat Fateh Ali Khan denies getting notice for smuggling currency,"Pakistani singer Rahat Fateh Ali Khan has denied receiving any notice from the Enforcement Directorate over allegedly smuggling foreign currency out of India. ""It would have been better if the authorities would have served the notice first if any and then publicised this,"" reads a press release issued on behalf of Rahat. The statement further called the allegation ""bizarre""."
"India get all out for 92, their lowest ODI total in New Zealand","India recorded their lowest ODI total in New Zealand after getting all out for 92 runs in 30.5 overs in the fourth ODI at Hamilton on Thursday. Seven of India's batsmen were dismissed for single-digit scores, while their number ten batsman Yuzvendra Chahal top-scored with 18*(37). India's previous lowest ODI total in New Zealand was 108."
Govt directs Alok Verma to join work 1 day before his retirement,"Weeks after ex-CBI Director Alok Verma told the Department of Personnel and Training to consider him retired, the Home Ministry asked him to join work on the last day of his fixed tenure as Director on Thursday. The ministry directed him to immediately join as DG, Fire Services, the post he was transferred to after his removal as CBI chief."
Called PM Modi 'sir' 10 times to satisfy his ego: Andhra CM,"Andhra Pradesh CM N Chandrababu Naidu has said, ""When I met then US President Bill Clinton, I addressed him as Mr Clinton, not as 'sir'. (PM Narendra) Modi is my junior in politics...I addressed him as sir 10 times."" ""I did this...to satisfy his ego in the hope that he will do justice to the state,"" he added."
"Cong wins Ramgarh bypoll in Rajasthan, takes total to 100 seats","Congress candidate Shafia Zubair won the Ramgarh Assembly seat in Rajasthan, by defeating BJP's Sukhwant Singh with a margin of 12,228 votes in the bypoll. With this victory, Congress has taken its total to 100 seats in the 200-member assembly. The election to the Ramgarh seat was delayed due to the death of sitting MLA and BSP candidate Laxman Singh."
UP cousins fed human excreta for friendship with boys,"Two minor cousins in Uttar Pradesh's Gorakhpur were allegedly repeatedly burnt with tongs and forced to eat human excreta by their family for being friends with two boys from the same school. The cousins revealed their ordeal to the police and Child Welfare Committee after being brought back to Gorakhpur from Nepal, where they had fled to escape the torture."
81-yr-old woman conducts physical training in J'khand schools,"Isha Ghosh, an 81-year-old member of Bharat Scouts and Guides (BSG), has been imparting physical and mental training to schoolchildren in Jharkhand for several decades. Chaibasa-based Ghosh reportedly walks seven kilometres daily and spends eight hours conducting physical training, apart from climbing and yoga sessions. She says, ""One should do something for society till one's last breath."""
"Ram, Krishna didn't smoke, why should we: Ramdev to sadhus at Kumbh","Urging saints and seers at the Kumbh Mela to quit smoking, Yoga guru Ramdev said, ""We follow Ram and Krishna who never smoked in their life then why should we?"" Making them take a pledge to quit tobacco, he collected chillum (clay pipe) from several sadhus. He said he will deposit the chillums for display at a museum he'll build."
Pharma exec gave doctor a lap dance to sell medicine in US: Witness,"Former stripper and regional sales director of a pharmaceutical company, Sunrise Lee, gave a doctor a lap dance in a nightclub to persuade him to prescribe an addictive fentanyl spray in 2012, the company's sales representative told a US court. She said she saw Lee ""sitting on [doctor's] lap, kind of bouncing around."" Lee has been accused of bribing doctors."
 I only cried at my 'bidaai' as I felt peer pressure: Isha Ambani,"Reliance Industries' Chairman Mukesh Ambani's daughter Isha Ambani, who got married last month, said she only cried at her 'bidaai' because she felt peer pressure as everyone was crying, especially her parents. ""I was emotional too but everyone around me would cry all the time,"" she added. ""It was a very emotional affair for everyone in my family,"" said Isha."
"Louis Vuitton owner to stockpile 4 months of wine, spirits in UK","Louis Vuitton owner LVMH, which makes high-end beverages like MoÃ«t & Chandon champagne and Hennessy cognac, said it's stockpiling four months' worth of wine and spirits in UK in preparation for Brexit. ""We're ready for worst case scenario if there are difficulties with deliveries,"" the French luxury giant said. The UK is scheduled to leave the EU on March 29."
"Karan Johar, Tabu turn showstoppers on opening night of LFW","Filmmaker Karan Johar and actress Tabu turned showstoppers for Gaurav Gupta on the opening night of LakmÃ© Fashion Week Summer/ Resort 2019. While Johar wore a red sequinned jacket with black pants, Tabu walked the ramp in a grey embellished gown. The fashion show, which began on January 29, will continue till February 3."
Those on bail will go to jail: PM Modi takes jibe at Rahul,"In a jibe at Congress President Rahul Gandhi, PM Narendra Modi on Wednesday said those on ""bail will have to go to jail."" PM Modi added, ""He is out on bail and his associates too are facing charges...I know they will be convicted one day."" The PM claimed he'd waged a war on corruption because he's from a common household. "
How long can I tolerate Congress leaders' potshots: K'taka CM,"Days after he threatened to step down from his post if Congress MLAs continue ""crossing the line,"" Karnataka Chief Minister HD Kumaraswamy accused them of taking potshots and asked, ""How many more days can I tolerate such stuff?"" Kumaraswamy, who made the statements after a Congress MLA demanded that Siddaramaiah be made CM again, said, ""Power is ephemeral."""
Odisha CM Patnaik controls mining mafia: Union Minister,"Union Minister Dharmendra Pradhan on Wednesday claimed the illegal mining mafia in Odisha operates under the control of CM Naveen Patnaik and state Congress chief Niranjan Patnaik. He added, ""The time has come for the people of Odisha to put a full stop to their activities...The time has come for us to ask for an explanation from this corrupt government."""
I think the opposition even dreams about me: PM Modi,"Claiming there is a dearth of ideas among opposition parties, Prime Minister Narendra Modi on Wednesday said, ""The opposition talks only about Modi the whole day, I suspect they even dream about me."" PM Modi, who was addressing the New India Youth Conclave inâ Surat, added that the opposition parties have only one agenda which is ""Modi"". "
ISRO unveils Bengaluru centre for manned space mission ,"The Indian Space Research Organisation on Wednesday unveiled Human Space Flight Centre in Bengaluru for its â¹10,000-crore manned space mission 'Gaganyaan' scheduled for 2021. ISRO said the centre will be responsible for development of engineering systems for crew survival in space and crew selection and training. It'll also pursue activities for sustained human space flight missions, ISRO added."
"12 killed, 170 injured in Saudi Arabia floods","At least 12 people have been killed and 170 others have been injured in Saudi Arabia this week due to flooding from heavy rain. The emergency services rescued 271 people from the flooded areas, more than half of them in Tabuk. Heavy rains hit mainly western and northwestern parts of Saudi Arabia, near its border with Jordan."
Isha Ambani features on February cover of Vogue magazine,"Reliance Industries' Chairman Mukesh Ambani's daughter Isha Ambani has featured on the cover of the February edition of Vogue India. She's dressed in a white shirt dress and black ruffled skirt by Australian designer Toni Maticevski, while accessorising her look with a Misho ring. In the cover story on her, Isha has spoken about her work and life after marriage.
 "
Indian Oil looking for annual deal to buy crude from US,"Indian Oil Corporation on Wednesday said it's looking for an annual deal to buy US crude as it seeks to broaden oil purchasing options. This comes amid uncertainties over Iran imports. The US had in November granted a six-month waiver to India from sanctions against Iran and restricted the country's monthly intake of Iranian oil to 3,00,000 barrels per day.

"
Pacer once took 7 wickets for just 1 run in 32 balls in a Test,"Former Windies fast bowler Curtly Ambrose dismissed seven Australian batsmen within a span of 32 balls giving away just one run, in a Test match on January 30, 1993. Ambrose's spell helped his team bowl out Australia for 119 in the first innings, after being 85 for 2 at one point. Ambrose ended with first-innings figures of 18-9-25-7."
UK zoo offers people to name cockroach after their ex on Valentine's,"A London zoo is offering people to name a cockroach after their exes on Valentine's Day for Â£1.50 (nearly â¹140). ""For those that don't quite require revenge, there's another way to make you feel better about getting back at your ex,"" the zoo said in a statement. The names will appear on zoo's 'roach board' on February 14. "
Rohit Sharma becomes 14th Indian cricketer to play 200 ODIs,"Stand-in captain Rohit Sharma has become the 14th Indian cricketer to play 200 ODIs, achieving the feat after taking the field against New Zealand in fourth ODI at Hamilton on Thursday. The 31-year-old had made his ODI debut on June 23, 2007, against Ireland in Belfast. Rohit scored 7,799 runs in his first 199 ODIs at an average of 48.14."
19-year-old Shubman Gill becomes India's 227th ODI cricketer,"Batsman Shubman Gill has become the 227th cricketer to represent India in ODI cricket, achieving the feat against New Zealand in the fourth ODI at Hamilton on Thursday. The 19-year-old received his maiden ODI cap from former captain MS Dhoni. Notably, Shubman was named Player of the Under-19 World Cup in New Zealand last year."
2 seat cushions from 'missing plane carrying footballer' found,"Investigators searching for a lost plane carrying Argentine forward Emiliano Sala found two seat cushions on French coast that ""likely"" belonged to the aircraft. The investigators said they'll now launch an underwater seabed search for aircraft wreckage. The Cardiff City footballer was travelling from France's Nantes to Wales' Cardiff when his plane disappeared over English Channel on January 21."
"Italian coach knocks rival down with headbutt, banned for 5 months","Italian third division football side Lucchese's head coach Giancarlo Favarin has been banned for five months for headbutting Alessandria's assistant coach Gaetano Mancino during a brawl following the teams' 2-2 draw on Sunday. Mancino was caught off-balance and knocked to the ground after the headbutt. Earlier in the match, Favarin had told his own player to break an opponent's legs."
Cyclists sleep on stadium floor instead of hotel over costly cycles,"Cyclists taking part in National Track Cycling Championship in Jaipur opted to sleep on the floor inside the stadium instead of hotels over expensive cycles. The organisers had booked hotels but they didn't have the provision for cyclists to keep their bikes inside. A national gold medallist said their cycles cost between â¹5-9 lakh and once damaged, they become non-repairable. "
Brazilian mother narrates football matches to blind son from stands,"Silvia Grecco, a 56-year-old Brazilian mother narrates her local football team Palmeiras' matches live to her 12-year-old blind and autistic son Nickollas from the stands. ""I describe details: this player is wearing short sleeves...colour of...football boots, hair colour...Everything I see and feel, I tell him, even when I need to curse the referee!"" Grecco said after a recent match."
SBI left account data of millions of users unprotected: Report,"A TechCrunch report has claimed that Indiaâs largest bank SBI secured a passwordless server ""overnight"" on being alerted it allowed anyone to access phone numbers, bank balances, and transactions of millions of its customers. The Mumbai-based server was containing two months of data from SBI Quick, an SMS and call-based system used to request basic information about accounts, TechCrunch revealed."
CM Parrikar under pressure from PM after our Goa meet: Rahul,"Rahul Gandhi has replied to Goa CM Manohar Parrikar's letter, which accused the Congress President of using his ""visit to an ailing man for political gains"". ""He's under immense pressure from the PM after our meeting and needs to demonstrate his loyalty by attacking me,"" Gandhi wrote in his letter. Parrikar had clarified he didn't discuss Rafale deal with Rahul."
Man arrested for cheating Amazon of â¹30 lakh by taking refunds,"Twenty-seven-year-old Mohammed Mahuwala was arrested in Indore on Wednesday for allegedly cheating e-commerce giant Amazon of nearly â¹30 lakh. Mahuwala was a member of a gang who ordered costly gadgets from Amazon. ""[They] used to get refund of the amount paid...by saying the parcel...was empty. In reality, these devices were taken out from parcel and sold...to local shopkeepers,"" said police."
AgustaWestland scam accused Rajiv Saxena extradited to India,"AgustaWestland chopper scam co-accused Rajiv Saxena was extradited to India from UAE on Wednesday. He had been evading the Enforcement Directorate's summons claiming he was suffering from leukaemia but had moved an anti-money laundering court for anticipatory bail in December, stating he had never been summoned at his Dubai address. Saxena's lawyers alleged he had been ""illegally extradited"". "
Pakistan holds 'keys to war': Afghanistan,"Afghan President Ashraf Ghani has said the ""keys to war"" are in Pakistan's Islamabad, Quetta and Rawalpindi, accusing the country of providing safe havens to militants, including those belonging to the Taliban. Ghani added the ""key to peace was in Afghanistan"". His comments came amid the talks between the US and the Taliban to end the 17-year war in Afghanistan."
Insurance agent 'Lord Voldemort' jailed for threatening clients,"A Singapore-based insurance agent has been jailed for two years and five months for threatening to harm his clients unless they paid him in bitcoins. The 36-year-old set up an email account, and signed the messages as 'Lord Voldemort', a fictional character from the Harry Potter series. Ye Lin Myint targeted about 33 people, including those who cancelled insurance policies."
Woman turns Apple AirPods into earrings to avoid losing them,"Gabrielle Reilly, a 22-year-old US woman, created earrings for her Apple AirPods and put it up for sale online for $20 (about â¹1,500). ""I absolutely refuse to lose them (AirPods)...So I made earrings,"" she explained. The earrings, which took her over an hour to make, debuted in a video on Twitter that has since garnered over three million views."
"Shocked, hurt by ICICI's decision, truth will prevail: Kochhar","Ex-ICICI Bank CEO Chanda Kochhar said she's ""utterly disappointed, hurt and shocked"" by the bank's decision to terminate her. Kochhar said she served ICICI for 34 years with utmost honesty and integrity and that ultimately truth will prevail. Adding that she hasn't been given a copy of the independent probe report, Kochhar said none of ICICI's credit decisions are unilateral"
Fashion brand H&M hires Facebook data scandal whistleblower,"Swedish multinational fast-fashion brand Hennes & Mauritz AB (H&M) has hired Christopher Wylie, the whistleblower who exposed Facebook's Cambridge Analytica data scandal. Wylieâs focus will be to help get better insights on customers, products and markets and support work on sustainable and ethical artificial intelligence, H&M spokesperson said. Wylie is a former employee of Cambridge Analytica."
Twitter testing news-first timeline feature on Android,"Micro-blogging platform Twitter is testing a new feature on Android to put news on the top of a user's timeline. ""With this update, weâre making it easier for people to see news and stories their followers have been discussing,"" Product Manager Walter Gurzynski said. The feature comes alongside a prompt saying, ""Catch up on what's happened while you were away."""
Samsung builds world's first 1TB storage chip for smartphones ,"Samsung has started mass producing its one terabyte 'embedded Universal Flash Storage (eUFS) 2.1' technology for ""use in next-generation mobile applications"", which it claims is the industry's first such eUFS. The company added the new eUFS will let smartphones store 260 10-minute videos shot in 4K UHD format. It'll be sized the same as the previous 512GB version, Samsung said."
People with 'negative mindset' quizzing pro-poor schemes: PM,Prime Minister Narendra Modi on Wednesday said the people with 'negative mindset' are questioning him and his government for floating pro-poor schemes. He added negative mindset people are raising doubts about schemes such as building toilets and providing free gas connections to the poor. He further said that negative mentality laced with a vested interest still exists in the country.
"Rahul is hybrid specimen, has no clue about religion: Hegde","Union Minister Anantkumar Hegde took a dig at Congress President Rahul Gandhi by calling him a ""hybrid specimen"" who has no clue about religion. ""A father who's...Muslim, a mother who's...Christian and the son is supposed to be...Brahmin. How is that even possible?"" he said. He added such ""hybrid specimen"" cannot be found in any laboratory in the world."
Extreme cold to affect 200 million people as polar vortex hits US,"Several parts of the US are set to experience record low temperatures as the polar vortex hit the Upper Midwest, with more than 200 million people expected to experience below-freezing temperatures this week. Temperatures throughout the Upper Midwest are expected to be at least 20-40â below zero. Government offices and schools have been closed in several areas."
13 booked for firing air shots at Mahatma Gandhi's effigy,"The police on Wednesday registered cases against 13 persons, including a woman leader of Hindu Mahasabha, in Aligarh for firing at an effigy of Mahatma Gandhi with an air pistol. ""The incident took place in a house in Naurangabad locality of the city,"" Senior Superintendent of Police said. The video of the event went viral on social media, he added."
Railway police rescues woman with leg stuck in train toilet,"Railway police has rescued a woman travelling on a train in Chennai who got her leg stuck inside the commode of a toilet. After being caught inside the commode hole, she struggled to remove her leg and following failed attempts, she shouted for help, reports said. Railway police used a cutter to pry open the commode and freed her leg."
US begins sending back asylum seekers to Mexico,"The US on Tuesday began returning asylum seekers to Mexico, sending back a migrant from a Central American nation and called the move a ""response to the illegal migration crisis"" faced by it. Under its Migrant Protection Protocols policy, the US will return certain migrants who cross into the country illegally back to Mexico while their asylum requests are processed."
Yashwant Sinha demands probe into alleged fund diversion by DHFL,"Former Finance Minister Yashwant Sinha on Tuesday demanded a probe into the alleged diversion of loans worth â¹31,000 crore by Dewan Housing Finance (DHFL). All agencies including regulators of the government have failed to track nefarious deals, he said. This comes after a media report on Tuesday accused DHFL's controlling shareholders of diverting funds to shell companies to buy assets."
Boeing sales cross $100bn for 1st time in its 102-yr history,"US-based Boeing on Wednesday reported annual sales worth $101.12 billion in 2018, the first time the planemaker's sales crossed the $100-billion mark in its 102-year history. The company said it expects to deliver between 895 and 905 commercial aircraft in 2019. Boeing retained its position as the world's largest planemaker for the seventh straight year, delivering 806 aircraft in 2018. "
headlines,text
OnePlus named bestselling premium smartphone brand of 2018: Report,"OnePlus has emerged as India's best-selling premium smartphone brand of 2018, as per a report by Counterpoint. It captured 36% of the market share in the premium segment, in Q4 2018. Further, its OnePlus 6 emerged as the highest selling premium smartphone of 2018 followed by OnePlus 6T."
"Can never look at female body, even if naked, in vulgar way: Pooja","Filmmaker Pooja Bhatt, while talking about the presentation of women in her films, said, ""I can never look at a female body, even if it's naked, in a vulgar manner."" ""Our audience can say...the women in my films are bold or sensual, but never ever vulgar,"" she added. Pooja further said her censor board is her ""own heart and mind""."
Kangana made fake promises to cast: 'Manikarnika' actress Mishti,"Actress Mishti, who has featured in 'Manikarnika: The Queen of Jhansi', has said the film's co-director Kangana Ranaut made false promises to the cast. ""Kangana had said, 'I want dates because all characters look jumbled up...I'm trying my best to give everybody a prominent space on screen.' After watching the movie, there is no scope for other characters,"" Mishti added. "
PM-led panel to meet on Friday to pick new CBI chief: Kharge,"The high-powered committee led by PM Narendra Modi to select the next CBI Director will meet again on February 1, Congress leader Mallikarjun Kharge has said. The panel consisting of Kharge and Chief Justice of India Ranjan Gogoi met on January 24, but the meeting ended ""inconclusively"" after Kharge cited lack of details in the list of 80 IPS officers. "
"McGregor fined â¹35 lakh, Khabib â¹3.5 crore for brawl; both banned","Nevada State Athletic Commission has banned MMA fighters Conor McGregor and Khabib Nurmagomedov for six months and nine months respectively over their roles in the mass brawl that occurred after their fight at UFC 229 last October. McGregor and Khabib have been fined $50,000 (â¹35 lakh) and $500,000 (â¹3.5 crore) respectively. The brawl occurred after Nurmagomedov confronted McGregor's teammate."
"Banned for 4 matches, Sarfaraz shares 'log hai na' poem for critics","Pakistan captain Sarfaraz Ahmed, who has been banned for four matches over racist remarks, took an apparent dig at his critics by sharing a video of a child reciting 'log hai na' poem on Twitter. ""Pyaar karna hai to khud se kar...dushmani karne ke liye log hai na,"" the poem read. ""This is how the world is,"" Sarfaraz wrote."
Confessed to spot-fixing to escape police torture: Sreesanth to SC,"Banned cricketer Sreesanth has told Supreme Court he initially confessed to Delhi Police about his alleged involvement in 2013 IPL spot-fixing scandal to escape continuous police torture. Sreesanth further said the bookie tried dragging him into spot-fixing but he didn't fall for it. Citing Sreesanth not informing BCCI about fixing approach, the apex court said Sreesanth's conduct ""wasn't good""."
"Govt to present Interim Budget, not full Budget on February 1","The Finance Ministry on Wednesday said the government will present an Interim Budget on February 1. The clarification came amid speculations that a full Budget may be presented during the session. The government recently assigned Piyush Goyal temporary additional charge of the Finance and Corporate Affairs ministries in the absence of Arun Jaitley, who is in the US for treatment."
"US intelligence naive and wrong, should go back to school: Trump","US President Donald Trump on Wednesday called his country's top intelligence chiefs ""naive"" and ""wrong"" on Iran and added that they should perhaps ""go back to school"". Trump claimed Iran is testing rockets, calling the country ""a source of potential danger and conflict"". Top US intelligence officials on Tuesday said that Iran isn't currently taking steps towards building nuclear weapons."
Vatican priest handling sex abuse cases quits over alleged sex abuse,A senior priest at the Vatican who handled cases of sexual abuse has quit after being accused of sexual abuse by a former nun. The accused priest claimed he is innocent and said he would consider taking legal action. The Vatican said in a statement that a Church investigation of the case was underway.
Woman rejects job after CEO bullies her in interview; he apologises,"A 22-year-old writer turned down a job offer, claiming she was bullied to the point of tears during her two-hour interview by a UK company's CEO. Olivia Bland added the ""brutal"" interview brought back painful memories of her abusive relationship. ""I am so sorry that anyone has been hurt, it is never my intent,"" Web Applications CEO Craig Dean replied. "
Police officer probing Paytm extortion case arrested for extortion,"Noida Police has arrested Sector 20 station in-charge Manoj Pant and three journalists for allegedly extorting money from a call centre owner for removing his name from an FIR. The four were caught while taking bribe money of â¹8 lakh, police said. Pant was the lead investigator in the Paytm extortion case involving Founder Vijay Shekhar Sharma's secretary Sonia Dhawan."
Qatar to invest $200 million in Airtel Africa,"Airtel on Wednesday said that Qatar's sovereign wealth fund Qatar Investment Authority will invest $200 million through a primary equity issuance in Airtel Africa. India's second-largest telecom operator's Africa unit recently raised $1.25 billion from six investors. Airtel Africa, the holding company for Airtel's operations in 14 African countries, is preparing for an initial public offering."
Rohit Shetty still working on script for Golmaal 5: Shreyas,"Actor Shreyas Talpade said that 'Golmaal' filmmaker Rohit Shetty is still working on the script for the fifth instalment of the 'Golmaal' film franchise. ""He was telling us the other day that he...cracked some story. Once he's done with the...scripting, he'll take a call,â the actor added. The series features Shreyas along with Ajay Devgn, Arshad Warsi and Tusshar Kapoor."
Man sues Avengers actress Gwyneth for â¹22 crore over ski crash,"A 72-year-old man named Terry Sanderson has sued 'Avengers' actress Gwyneth Paltrow for allegedly crashing into him while skiing, and is seeking $3.1 million (over â¹22 crore) in damages. The lawsuit states the actress got up and skied away after knocking the man down, leaving him with broken ribs. The incident reportedly took place in 2016 in Utah, US. "
Yami Gautam felicitated by BSF for performance in 'Uri...',"Yami Gautam was felicitated by Border Security Force (BSF) in Amritsar for her performance in 'Uri: The Surgical Strike'. ""BSF is the first line of defence of our country and it gives me...pride to have met them,"" Yami said. The film, which also stars Vicky Kaushal, is based on the Indian Army's surgical strike operation which took place in 2016."
Facebook hires its privacy critic as privacy policy manager,"Social media giant Facebook has hired privacy critic Nate Cardozo, formerly the top legal counsel for US privacy watchdog EFF, as a privacy policy manager for WhatsApp. Cardozo had called Facebook a ""faceless corporation"" whose business model depends on user's confusion and indifference about privacy, in October 2015. Facebook has also hired attorney Robyn Greene as its privacy policy manager."
Apple to cut some iPhones' prices outside US over strong dollar,"Apple CEO Tim Cook said the company plans to lower some iPhones' prices in markets with currencies that weakened against the US dollar in the past year. ""Weâve decided to go back to (iPhone prices) more commensurate with...local prices...a year ago,"" Cook added. The price cuts, in hopes of increasing sales, are reportedly occurring for second time in 12 years."
Scientists test wetsuit to protect wearer after shark attack,"Scientists in Australia's Flinders University are testing a wetsuit prototype that could protect its wearer after a shark attack. The suit, made of synthetic material similar to the material used in bulletproof vests, could help reduce blood loss after a shark attack. ""The majority of fatalities from shark bites is due to blood loss...shock from blood loss,"" a scientist said."
Come armed with sticks for PM Modi's rally in WB: BJP leader,BJP National Secretary Rahul Sinha on Wednesday asked the party workers in West Bengal to come armed with sticks to PM Narendra Modi's rally in the state on February 2. His statement came a day after clashes broke out following BJP chief Amit Shah's WB rally. Sinha added the TMC is indulged in violence as they're afraid of BJP's strength.
'4B' for Opposition is 'Bua-Bhatija-Bhai-Behen': Amit Shah,"BJP President Amit Shah on Wednesday took a dig at the Opposition parties saying that the 'mahagathbandhan' for the Opposition is 4B - ""Bua-Bhatija-Bhai-Behen"". He added that 4B for the BJP meant ""Badhta Bharat, Banta Bharat"". He said Opposition's government cannot take the country ahead and ""only Modiji can provide a 'mazboot' (strong) government""."
